Year,Q (liters),P (yen/liter),Tax_rate (%),GDP (trillion yen),ln_Q,ln_P,ln_GDP,ln_Tax_rate,Δln_Q,Δln_P,Δln_GDP,Δln_Tax_rate
2007Q2,14637953000.0,134.9,43.46,128.53,23.406883513299142,4.90453376321371,4.85616234012204,3.771840974828284,0.0212548281214814,0.0308643241906114,-0.0282292273999651,-0.0308134935444974
2007Q3,15912539000.0,143.1,40.97,130.5,23.49037325173031,4.963543686562405,4.871373226762748,3.71284009155878,0.0834897384311688,0.0590099233486949,0.0152108866407081,-0.0590008832695039
2007Q4,14946838000.0,149.6,39.19,135.44,23.427765609396044,5.007965065540377,4.90852873782488,3.66842161221154,-0.0626076423342674,0.0444213789779723,0.0371555110621315,-0.0444184793472395
2008Q1,13578781000.0,152.8,38.37,132.8,23.33177419068855,5.02912987673242,4.888844237042334,3.647275904258861,-0.095991418707495,0.021164811192043,-0.0196845007825459,-0.0211457079526788
2008Q2,14783719000.0,155.7,20.73,128.01,23.416792344630476,5.0479310788399525,4.852108385868018,3.0315819264476884,0.0850181539419239,0.0188012021075323,-0.0367358511743161,-0.6156939778111727
2008Q3,14320246000.0,178.8,32.79,129.21,23.384940177102308,5.186267862739414,4.861438987734129,3.4901235908565567,-0.0318521675281644,0.1383367838994615,0.009330601866111,0.4585416644088682
2008Q4,14645686000.0,136.7,42.89,130.21,23.40741165805463,4.917788743729904,4.869148531740637,3.758638698528789,0.0224714809523227,-0.2684791190095099,0.0077095440065084,0.2685151076722323
2009Q1,13723176000.0,109.1,53.74,120.83,23.342351919335663,4.692264892839025,4.794384599039216,3.984157603187345,-0.0650597387189684,-0.2255238508908794,-0.0747639327014209,0.2255189046585561
2009Q2,14124355000.0,118.1,49.64,119.6,23.371166449219483,4.771531723203316,4.784152841516532,3.904796960336407,0.0288145298838209,0.0792668303642916,-0.0102317575226846,-0.0793606428509385
2009Q3,15257144000.0,126.5,46.35,122.18,23.448313689323555,4.840242308167575,4.805495367221621,3.836221292011864,0.0771472401040718,0.0687105849642586,0.0213425257050889,-0.0685756683245424
2009Q4,15023558000.0,127.1,46.13,127.99,23.43288533938424,4.844974178195408,4.8519521358677,3.831463497569729,-0.0154283499393166,0.0047318700278333,0.0464567686460792,-0.0047577944421348
2010Q1,13764302000.0,128.7,45.56,126.09,23.345344265937072,4.857484114602081,4.836995937685135,3.819030138578981,-0.0875410734471664,0.0125099364066727,-0.0149561981825652,-0.0124333589907479
2010Q2,13989837000.0,137.2,42.73,123.77,23.36159697437651,4.921439715291784,4.818425004551931,3.7549012496559335,0.0162527084394383,0.0639556006897033,-0.018570933133204,-0.0641288889230478
2010Q3,15851440000.0,133.9,43.79,129.02,23.48652618487795,4.897093252697127,4.859967431104096,3.779405480813307,0.1249292105014383,-0.0243464625946572,0.0415424265521648,0.0245042311573735
2010Q4,14762307000.0,132.5,44.25,131.84,23.415342944718045,4.886582645426277,4.881589066161162,3.7898553714539385,-0.0711832401599039,-0.0105106072708505,0.0216216350570661,0.0104498906406313
2011Q1,13593462000.0,141.1,41.55,127.44,23.33285477880404,4.9494688588587685,4.847645665601793,3.726897521301457,-0.0824881659140039,0.0628862134324919,-0.0339434005593686,-0.0629578501524812
2011Q2,13448528000.0,150.3,39.01,122.7,23.322135494625822,5.012633296758929,4.809742351716865,3.663818023518565,-0.0107192841782186,0.0631644379001601,-0.0379033138849278,-0.0630794977828923
2011Q3,15241188000.0,148.6,39.45,128.61,23.447267336922657,5.001258132283659,4.856784569277996,3.675034047291883,0.1251318422968346,-0.0113751644752699,0.0470422175611302,0.0112160237733185
2011Q4,14619344000.0,143.2,40.94,132.09,23.405611420220318,4.964242254526545,4.883483508435773,3.712107580233144,-0.0416559167023429,-0.0370158777571134,0.0266989391577769,0.0370735329412599
2012Q1,13904742000.0,146.6,39.99,131.28,23.3554957699834,4.987707789452551,4.877332446781836,3.688629422858727,-0.0501156502369184,0.0234655349260055,-0.006151061653937,-0.0234781573744164
2012Q2,13480072000.0,150.6,38.93,126.14,23.3244782836626,5.014627315365793,4.837392401235505,3.661765161622364,-0.0310174863207954,0.0269195259132422,-0.0399400455463307,-0.0268642612363625
2012Q3,15181511000.0,143.3,40.91,128.44,23.44334414282716,4.964940334834126,4.855461869221313,3.711374531941307,0.1188658591645612,-0.0496869805316668,0.0180694679858079,0.0496093703189428
2012Q4,14532867000.0,147.2,40.37,132.0,23.399678610962525,4.991792206294776,4.882801922586371,3.6980869348648495,-0.0436655318646366,0.02685187146065,0.0273400533650578,-0.0132875970764576
2013Q1,13252958000.0,153.4,38.74,131.34,23.307486609746142,5.033048888933156,4.8777893807628265,3.65687265797885,-0.0921920012163823,0.0412566826383793,-0.005012541823544,-0.0412142768859995
2013Q2,13355338000.0,152.9,38.87,128.46,23.315181992061152,5.029784112935016,4.855617571829646,3.660222744864132,0.0076953823150098,-0.0032647759981392,-0.0221718089331801,0.0033500868852818
2013Q3,14849870000.0,158.6,37.47,132.36,23.42125694794805,5.066385309200747,4.885525483053412,3.623540612805596,0.1060749558868963,0.0366011962657308,0.0299079112237654,-0.0366821320585359
2013Q4,14017059000.0,158.4,37.52,136.09,23.36354092479305,5.0651234793803255,4.913316431572226,3.624874124138024,-0.0577160231550024,-0.0012618298204216,0.0277909485188141,0.0013335113324282
2014Q1,13196561000.0,158.4,37.52,135.16,23.30322210229179,5.0651234793803255,4.90645926184609,3.624874124138024,-0.0603188225012552,0.0,-0.0068571697261363,0.0
