�������n��,,,,,,,,,,,,,,,,<�Q�l>,,,,,,,,,,,,,(�P��:2015��N�A�����i�A10���~),,,
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,���������Y(�x�o��),���ԍŏI����x�o,,,���ԏZ��,���Ԋ�Ɛݔ�,���ԍ݌ɕϓ�,���{�ŏI����x�o,���I�Œ莑�{�`��,���I�݌ɕϓ�,���݁E�T�[�r�X,,,�J��,,���՗���,����������,�C�O����̏���,,,����������,,�������v,���Ԏ��v,���I���v,,���Œ莑�{�`��,,�ŏI���v,,,
10-12.,"130,213.9 ","72,007.0 ","70,403.8 ","58,839.0 ","5,763.2 ","19,890.9 ","3,361.9 ","23,498.1 ","7,207.6 ",13.2 ,"-1,412.7 ","19,798.7 ","21,211.4 ",-115.4 ,,579.2 ,"130,793.1 ","2,292.7 ","3,775.6 ","1,482.9 ","133,085.8 ",,"131,805.7 ","101,100.8 ","30,680.0 ",,"32,809.4 ",,"126,695.4 ",,,
2009/ 1- 3.,"120,833.6 ","70,101.4 ","68,993.9 ","57,378.7 ","5,003.8 ","21,234.2 ","-3,671.7 ","23,576.5 ","7,785.0 ",-3.5 ,"-2,930.9 ","14,418.1 ","17,349.0 ",-261.1 ,,"1,909.4 ","122,742.9 ","3,540.9 ","4,359.5 ",818.6 ,"126,283.9 ",,"123,896.8 ","92,603.1 ","31,302.9 ",,"34,009.0 ",,"124,580.7 ",,,
4- 6.,"119,604.1 ","69,528.8 ","68,217.3 ","56,560.3 ","4,377.0 ","16,738.7 ",368.5 ,"23,885.8 ","5,609.4 ",4.3 ,-968.6 ,"15,458.1 ","16,426.7 ",60.3 ,,"1,578.9 ","121,183.0 ","2,971.2 ","4,292.9 ","1,321.8 ","124,154.2 ",,"120,602.9 ","91,081.6 ","29,517.8 ",,"26,721.4 ",,"119,136.8 ",,,
7- 9.,"122,185.0 ","71,808.3 ","70,250.6 ","58,572.5 ","4,360.4 ","18,003.2 ","-1,762.4 ","23,782.4 ","6,287.5 ",-22.2 ,-246.3 ,"17,304.8 ","17,551.1 ",-25.9 ,,"1,305.1 ","123,490.0 ","3,578.6 ","4,329.6 ",751.0 ,"127,068.6 ",,"122,464.7 ","92,425.0 ","30,036.5 ",,"28,652.8 ",,"123,960.2 ",,,
10-12.,"127,992.4 ","73,333.1 ","71,684.2 ","59,981.3 ","4,293.6 ","17,462.9 ",218.5 ,"24,207.7 ","7,958.8 ",11.2 ,543.8 ,"18,845.3 ","18,301.5 ",-37.2 ,,"1,251.5 ","129,243.9 ","2,416.0 ","3,445.4 ","1,029.4 ","131,659.8 ",,"127,487.3 ","95,367.8 ","32,126.6 ",,"29,658.6 ",,"127,695.6 ",,,
2010/ 1- 3.,"126,094.1 ","72,006.7 ","70,804.7 ","59,057.8 ","4,316.0 ","20,030.2 ","-3,646.5 ","23,999.3 ","8,335.7 ",38.2 ,"1,121.6 ","19,482.6 ","18,361.0 ",-106.9 ,,953.8 ,"127,047.9 ","3,959.7 ","4,692.4 ",732.7 ,"131,007.7 ",,"125,083.8 ","92,795.6 ","32,299.2 ",,"32,654.4 ",,"129,580.9 ",,,
4- 6.,"123,771.7 ","71,155.4 ","69,778.2 ","57,984.4 ","4,180.6 ","16,392.1 ","1,177.1 ","24,414.9 ","5,313.9 ",-0.2 ,"1,172.7 ","20,266.3 ","19,093.6 ",-34.8 ,,537.8 ,"124,309.5 ","3,010.4 ","4,457.6 ","1,447.2 ","127,319.9 ",,"122,669.4 ","92,893.3 ","29,773.5 ",,"25,892.2 ",,"122,640.3 ",,,
7- 9.,"129,016.1 ","74,252.0 ","72,639.4 ","60,834.8 ","4,526.6 ","18,309.0 ",475.9 ,"24,161.5 ","6,078.5 ",-59.8 ,"1,388.2 ","21,186.9 ","19,798.8 ",-115.8 ,,575.6 ,"129,591.8 ","4,022.6 ","4,806.2 ",783.6 ,"133,614.3 ",,"127,746.8 ","97,550.5 ","30,187.8 ",,"28,919.3 ",,"128,640.2 ",,,
10-12.,"131,838.1 ","73,994.1 ","72,298.7 ","60,444.4 ","4,771.7 ","17,986.8 ","2,042.6 ","24,663.4 ","7,309.2 ",-5.2 ,"1,272.2 ","21,505.0 ","20,232.8 ",-196.8 ,,486.3 ,"132,324.4 ","2,706.4 ","3,955.0 ","1,248.6 ","135,030.8 ",,"130,684.7 ","98,751.0 ","31,932.1 ",,"30,024.3 ",,"129,876.6 ",,,
2011/ 1- 3.,"127,438.7 ","71,097.0 ","69,825.7 ","57,924.2 ","4,709.0 ","21,005.7 ","-2,373.3 ","24,817.6 ","7,472.3 ",-1.3 ,839.1 ,"20,875.2 ","20,036.1 ",-127.2 ,,-283.1 ,"127,155.7 ","4,318.4 ","5,116.8 ",798.5 ,"131,474.0 ",,"126,660.5 ","94,406.3 ","32,249.9 ",,"33,187.7 ",,"129,852.9 ",,,
4- 6.,"122,702.0 ","70,463.0 ","68,914.1 ","57,016.2 ","4,413.3 ","16,640.5 ","1,475.6 ","24,890.2 ","5,189.5 ",2.5 ,-480.7 ,"19,249.5 ","19,730.2 ",108.2 ,,"-1,122.3 ","121,579.7 ","3,516.7 ","4,899.9 ","1,383.2 ","125,096.4 ",,"123,129.2 ","92,990.6 ","30,138.2 ",,"26,246.1 ",,"121,241.6 ",,,
7- 9.,"128,611.8 ","73,463.3 ","71,688.4 ","59,774.7 ","4,925.4 ","18,729.0 ",433.3 ,"24,619.3 ","5,895.8 ",-7.4 ,545.8 ,"21,301.0 ","20,755.2 ",7.3 ,,"-1,283.5 ","127,328.2 ","4,269.2 ","5,052.6 ",783.4 ,"131,597.5 ",,"128,081.2 ","97,551.4 ","30,532.2 ",,"29,554.2 ",,"128,184.3 ",,,
10-12.,"132,089.1 ","74,856.4 ","72,994.0 ","61,049.1 ","4,969.8 ","19,229.7 ","1,451.8 ","25,075.2 ","6,925.7 ",2.2 ,-486.5 ,"20,916.5 ","21,403.0 ",64.8 ,,"-1,232.0 ","130,857.1 ","2,677.6 ","3,878.1 ","1,200.5 ","133,534.7 ",,"132,516.8 ","100,526.1 ","31,992.6 ",,"31,110.3 ",,"130,618.5 ",,,
2012/ 1- 3.,"131,283.8 ","73,543.9 ","72,161.3 ","60,162.5 ","4,675.5 ","22,023.7 ","-1,673.5 ","25,383.0 ","7,581.9 ",8.4 ,-201.2 ,"21,167.5 ","21,368.7 ",-57.9 ,,"-1,393.2 ","129,890.6 ","3,993.5 ","4,781.9 ",788.4 ,"133,884.1 ",,"131,464.8 ","98,516.5 ","32,943.2 ",,"34,292.2 ",,"133,020.8 ",,,
4- 6.,"126,139.5 ","72,429.3 ","70,774.0 ","58,715.0 ","4,554.6 ","17,695.5 ","1,408.2 ","25,246.2 ","5,209.5 ",13.9 ,-511.4 ,"21,025.6 ","21,537.0 ",93.7 ,,"-1,567.8 ","124,571.7 ","3,279.5 ","4,838.6 ","1,559.1 ","127,851.2 ",,"126,649.8 ","96,124.7 ","30,527.7 ",,"27,470.4 ",,"124,684.3 ",,,
7- 9.,"128,442.3 ","74,211.6 ","72,340.4 ","60,252.7 ","4,979.5 ","19,256.0 ",351.6 ,"24,948.5 ","6,050.0 ",5.4 ,"-1,467.8 ","20,401.5 ","21,869.3 ",107.5 ,,"-1,107.7 ","127,334.5 ","4,135.8 ","4,914.0 ",778.2 ,"131,470.3 ",,"129,817.1 ","98,795.5 ","31,026.0 ",,"30,289.7 ",,"128,087.9 ",,,
10-12.,"131,998.8 ","75,575.3 ","73,596.8 ","61,474.8 ","5,247.6 ","18,995.8 ","1,112.5 ","25,497.7 ","7,157.3 ",4.8 ,"-1,749.2 ","19,867.7 ","21,617.0 ",157.1 ,,"-1,110.9 ","130,887.9 ","2,786.0 ","4,167.5 ","1,381.5 ","133,673.8 ",,"133,582.4 ","100,936.9 ","32,645.7 ",,"31,375.3 ",,"130,865.2 ",,,
2013/ 1- 3.,"131,338.8 ","75,075.6 ","73,570.0 ","61,401.0 ","5,052.5 ","21,811.2 ","-2,462.1 ","25,565.9 ","7,457.6 ",-20.6 ,"-1,204.1 ","20,209.9 ","21,414.0 ",62.8 ,,"-1,412.3 ","129,926.5 ","4,511.5 ","5,470.4 ",958.9 ,"134,438.0 ",,"132,411.7 ","99,436.1 ","32,972.4 ",,"34,327.0 ",,"133,896.4 ",,,
4- 6.,"128,463.5 ","74,363.6 ","72,704.9 ","60,480.1 ","4,837.8 ","18,114.6 ",800.3 ,"25,774.4 ","5,248.6 ",6.5 ,-778.2 ,"20,903.0 ","21,681.2 ",95.8 ,,"-1,494.9 ","126,968.7 ","4,735.0 ","6,704.4 ","1,969.4 ","131,703.7 ",,"129,194.1 ","98,115.0 ","31,081.9 ",,"28,207.0 ",,"127,658.3 ",,,
7- 9.,"132,360.3 ","76,453.1 ","74,584.6 ","62,322.3 ","5,392.4 ","20,102.9 ",-89.8 ,"25,395.7 ","6,615.6 ",-31.2 ,"-1,555.6 ","20,921.3 ","22,476.9 ",77.3 ,,"-1,567.8 ","130,792.6 ","5,239.8 ","6,527.1 ","1,287.3 ","136,032.4 ",,"133,808.3 ","101,835.6 ","31,976.8 ",,"32,103.6 ",,"132,508.3 ",,,
10-12.,"136,085.5 ","77,575.8 ","75,592.2 ","63,309.9 ","5,763.8 ","20,011.1 ","1,105.4 ","25,832.8 ","8,133.1 ",18.1 ,"-2,461.3 ","21,096.4 ","23,557.6 ",106.8 ,,"-1,725.4 ","134,360.1 ","3,471.1 ","5,342.5 ","1,871.4 ","137,831.2 ",,"138,399.1 ","104,447.5 ","33,951.1 ",,"33,865.8 ",,"134,939.6 ",,,
2014/ 1- 3.,"135,163.0 ","77,602.7 ","76,060.6 ","63,774.2 ","5,555.7 ","23,724.5 ","-3,172.4 ","26,085.5 ","8,073.9 ",37.4 ,"-2,603.4 ","22,165.5 ","24,769.0 ",-140.8 ,,"-2,053.1 ","133,109.8 ","5,122.6 ","6,485.7 ","1,363.2 ","138,232.4 ",,"137,761.4 ","103,578.9 ","34,180.5 ",,"37,348.2 ",,"138,467.8 ",,,
4- 6.,"128,341.9 ","72,409.0 ","70,899.6 ","58,565.2 ","4,829.6 ","18,586.8 ","2,142.8 ","25,817.9 ","5,297.6 ",11.0 ,-845.7 ,"22,315.6 ","23,161.3 ",93.0 ,,"-1,939.8 ","126,402.1 ","4,170.0 ","6,658.4 ","2,488.4 ","130,572.1 ",,"129,199.6 ","98,038.2 ","31,163.4 ",,"28,720.3 ",,"126,083.7 ",,,
7- 9.,"130,927.0 ","74,628.9 ","72,945.3 ","60,620.3 ","4,924.7 ","20,442.1 ",-9.0 ,"25,606.3 ","6,544.7 ",29.0 ,"-1,218.8 ","22,658.3 ","23,877.1 ",-20.9 ,,"-2,003.0 ","128,924.0 ","5,820.6 ","7,306.4 ","1,485.8 ","134,744.6 ",,"132,187.4 ","99,988.2 ","32,200.0 ",,"31,916.5 ",,"130,897.6 ",,,
10-12.,"135,380.8 ","76,076.1 ","74,233.6 ","61,911.3 ","5,086.3 ","20,386.0 ",713.8 ,"26,045.9 ","7,915.0 ",-6.2 ,-807.2 ,"23,757.1 ","24,564.2 ",-28.8 ,,"-1,525.9 ","133,854.9 ","4,319.5 ","6,801.7 ","2,482.3 ","138,174.4 ",,"136,228.3 ","102,289.3 ","33,936.9 ",,"33,373.3 ",,"134,640.0 ",,,
2015/ 1- 3.,"135,545.5 ","74,827.6 ","73,464.9 ","61,133.9 ","4,957.5 ","24,786.6 ","-2,613.6 ","26,517.5 ","7,668.0 ",46.7 ,-556.4 ,"23,912.4 ","24,468.7 ",-88.3 ,,-254.9 ,"135,290.7 ","5,697.6 ","7,257.1 ","1,559.5 ","140,988.3 ",,"136,120.3 ","101,879.8 ","34,237.8 ",,"37,407.7 ",,"138,207.2 ",,,
4- 6.,"131,367.0 ","73,746.0 ","72,085.8 ","59,745.0 ","4,813.8 ","19,521.8 ","2,189.3 ","26,318.7 ","5,219.8 ",-32.5 ,-498.4 ,"22,799.4 ","23,297.9 ",88.5 ,,-241.2 ,"131,125.7 ","5,028.2 ","7,785.1 ","2,756.9 ","136,154.0 ",,"131,839.6 ","100,332.0 ","31,509.3 ",,"29,557.5 ",,"129,131.4 ",,,
7- 9.,"133,748.4 ","75,309.9 ","73,478.9 ","61,134.3 ","5,200.3 ","21,578.0 ",243.6 ,"26,060.0 ","6,227.0 ",-27.6 ,-829.1 ,"23,374.8 ","24,203.9 ",-13.5 ,,79.8 ,"133,828.3 ","6,250.3 ","7,999.1 ","1,748.8 ","140,078.6 ",,"134,585.2 ","102,328.6 ","32,258.1 ",,"33,008.2 ",,"133,543.1 ",,,
10-12.,"137,420.3 ","76,181.4 ","74,177.9 ","61,828.4 ","5,334.6 ","21,432.7 ","1,312.8 ","26,653.7 ","7,614.5 ",-26.5 ,"-1,096.1 ","23,728.8 ","24,825.0 ",13.4 ,,419.7 ,"137,840.0 ","4,229.4 ","7,020.5 ","2,791.2 ","142,069.4 ",,"138,516.3 ","104,281.6 ","34,234.0 ",,"34,381.1 ",,"136,107.5 ",,,
2016/ 1- 3.,"136,877.8 ","74,761.1 ","73,212.1 ","60,856.6 ","5,066.8 ","24,557.5 ","-2,335.2 ","27,229.2 ","8,019.6 ",26.6 ,-459.1 ,"23,713.7 ","24,172.7 ",11.3 ,,"1,604.6 ","138,482.4 ","5,710.0 ","7,440.1 ","1,730.0 ","144,192.4 ",,"137,334.9 ","102,062.1 ","35,272.0 ",,"37,643.4 ",,"139,170.7 ",,,
4- 6.,"131,994.9 ","73,106.3 ","71,380.8 ","59,019.7 ","4,975.2 ","19,724.6 ","2,286.0 ","26,742.4 ","5,395.3 ",-63.3 ,-177.3 ,"23,060.4 ","23,237.7 ",5.7 ,,"1,323.9 ","133,318.8 ","4,334.1 ","7,480.7 ","3,146.6 ","137,652.9 ",,"132,170.4 ","100,096.0 ","32,074.2 ",,"30,094.8 ",,"129,767.3 ",,,
7- 9.,"134,430.3 ","74,651.8 ","72,719.6 ","60,352.3 ","5,451.3 ","21,447.7 ",17.5 ,"26,454.7 ","6,393.2 ",-68.0 ,84.6 ,"23,613.5 ","23,528.9 ",-2.5 ,,"1,260.0 ","135,690.3 ","5,610.0 ","7,534.4 ","1,924.4 ","141,300.3 ",,"134,345.6 ","101,564.4 ","32,781.4 ",,"33,292.3 ",,"134,485.9 ",,,
10-12.,"138,834.5 ","76,265.4 ","74,139.0 ","61,765.7 ","5,599.1 ","21,707.5 ",738.0 ,"26,827.2 ","7,574.7 ",-90.6 ,227.6 ,"24,946.1 ","24,718.5 ",-14.5 ,,"1,055.3 ","139,889.8 ","3,433.1 ","6,416.6 ","2,983.4 ","143,322.9 ",,"138,610.6 ","104,298.0 ","34,313.5 ",,"34,881.9 ",,"138,202.3 ",,,
2017/ 1- 3.,"138,219.4 ","75,106.3 ","73,437.0 ","61,058.3 ","5,269.6 ","24,912.4 ","-2,713.3 ","27,163.2 ","7,855.4 ",-59.3 ,642.7 ,"25,211.6 ","24,568.9 ",42.3 ,,503.5 ,"138,722.9 ","5,919.4 ","7,912.5 ","1,993.1 ","144,642.3 ",,"137,620.9 ","102,664.7 ","34,953.8 ",,"38,033.9 ",,"140,864.7 ",,,
4- 6.,"133,903.7 ","74,416.0 ","72,680.2 ","60,295.9 ","5,095.7 ","20,230.7 ","1,496.1 ","26,788.8 ","5,594.3 ",17.0 ,312.9 ,"24,587.1 ","24,274.2 ",-47.9 ,,364.4 ,"134,268.0 ","4,450.5 ","7,858.1 ","3,407.6 ","138,718.5 ",,"133,589.7 ","101,192.8 ","32,397.9 ",,"30,920.8 ",,"132,463.4 ",,,
7- 9.,"137,179.6 ","75,273.7 ","73,328.9 ","60,937.7 ","5,448.9 ","21,987.5 ",563.3 ,"26,507.4 ","6,401.7 ",18.4 ,"1,097.5 ","25,258.0 ","24,160.5 ",-118.9 ,,553.4 ,"137,733.0 ","6,359.9 ","8,348.8 ","1,988.9 ","144,092.9 ",,"136,179.5 ","103,258.3 ","32,922.9 ",,"33,838.6 ",,"136,623.7 ",,,
10-12.,"141,917.3 ","77,132.9 ","74,998.5 ","62,599.8 ","5,380.2 ","22,369.9 ","1,894.8 ","26,885.8 ","7,556.2 ",21.3 ,769.7 ,"26,587.1 ","25,817.4 ",-93.6 ,,183.3 ,"142,100.6 ","3,789.2 ","7,044.1 ","3,254.9 ","145,889.8 ",,"141,179.5 ","106,724.7 ","34,456.2 ",,"35,307.7 ",,"140,074.6 ",,,
2018/ 1- 3.,"140,173.0 ","75,363.8 ","73,719.0 ","61,318.2 ","4,986.9 ","25,697.4 ","-2,092.5 ","27,312.2 ","7,842.7 ",22.4 ,"1,096.7 ","26,532.7 ","25,436.1 ",-56.6 ,,-133.7 ,"140,039.3 ","5,721.0 ","8,030.4 ","2,309.4 ","145,760.4 ",,"139,122.3 ","103,947.1 ","35,177.3 ",,"38,513.7 ",,"142,240.2 ",,,
4- 6.,"135,690.4 ","74,497.9 ","72,950.8 ","60,546.0 ","4,642.3 ","21,053.8 ","1,803.6 ","27,094.1 ","5,679.6 ",-13.1 ,"1,013.5 ","26,084.9 ","25,071.4 ",-81.4 ,,-517.9 ,"135,172.4 ","4,906.4 ","8,648.4 ","3,742.1 ","140,078.8 ",,"134,715.8 ","101,968.9 ","32,747.9 ",,"31,367.1 ",,"133,936.3 ",,,
7- 9.,"137,133.0 ","75,600.2 ","73,821.4 ","61,407.6 ","5,020.1 ","21,977.4 ",508.1 ,"26,727.6 ","6,529.6 ",-8.9 ,834.0 ,"25,790.7 ","24,956.8 ",-55.2 ,,-986.1 ,"136,146.8 ","6,522.2 ","8,832.7 ","2,310.5 ","142,669.1 ",,"136,343.5 ","103,101.4 ","33,241.5 ",,"33,523.9 ",,"136,640.1 ",,,
10-12.,"141,770.2 ","77,163.9 ","75,202.8 ","62,778.5 ","5,178.5 ","22,811.5 ","1,882.0 ","27,296.4 ","7,530.8 ",-11.6 ,-68.5 ,"27,056.9 ","27,125.4 ",-12.9 ,,"-1,090.0 ","140,680.1 ","4,021.6 ","7,644.3 ","3,622.7 ","144,701.7 ",,"141,836.7 ","107,021.2 ","34,814.2 ",,"35,522.1 ",,"139,917.4 ",,,
2019/ 1- 3.,"139,938.5 ","75,095.7 ","73,615.8 ","61,192.6 ","5,061.9 ","25,843.9 ","-1,969.6 ","27,561.2 ","7,887.9 ",-37.0 ,521.8 ,"26,067.0 ","25,545.2 ",-27.3 ,,-450.7 ,"139,487.9 ","6,125.3 ","8,455.9 ","2,330.6 ","145,613.2 ",,"139,437.0 ","104,024.5 ","35,412.9 ",,"38,777.1 ",,"141,965.0 ",,,
4- 6.,"135,667.8 ","74,537.2 ","72,834.9 ","60,410.5 ","4,934.5 ","20,755.0 ","2,097.4 ","27,608.1 ","5,791.1 ",-3.4 ,3.2 ,"25,592.0 ","25,588.8 ",-55.2 ,,-692.6 ,"134,975.3 ","5,002.3 ","8,885.0 ","3,882.7 ","139,977.5 ",,"135,682.8 ","102,311.5 ","33,371.7 ",,"31,476.5 ",,"133,585.2 ",,,
7- 9.,"137,939.6 ","76,035.0 ","74,116.1 ","61,679.5 ","5,342.8 ","22,803.8 ",67.9 ,"27,423.7 ","6,654.9 ",-21.3 ,-347.6 ,"25,726.2 ","26,073.8 ",-19.7 ,,-534.3 ,"137,405.3 ","6,728.0 ","9,234.0 ","2,506.0 ","144,133.3 ",,"138,288.6 ","104,244.7 ","34,044.2 ",,"34,800.3 ",,"137,911.7 ",,,
10-12.,"138,989.5 ","75,070.5 ","72,948.8 ","60,513.6 ","5,310.4 ","21,530.4 ","1,280.4 ","27,896.2 ","7,772.0 ",4.7 ,146.2 ,"26,541.9 ","26,395.7 ",-21.2 ,,-356.1 ,"138,633.4 ","3,794.4 ","7,413.8 ","3,619.4 ","142,427.9 ",,"138,862.5 ","103,182.6 ","35,679.8 ",,"34,634.1 ",,"137,720.8 ",,,
2020/ 1- 3.,"137,520.3 ","73,976.9 ","72,317.7 ","59,883.3 ","4,834.8 ","25,384.8 ","-2,542.8 ","28,045.9 ","7,864.0 ",11.6 ,-155.5 ,"24,730.0 ","24,885.4 ",100.6 ,,-248.7 ,"137,271.6 ","6,107.9 ","8,346.3 ","2,238.4 ","143,379.5 ",,"137,636.2 ","101,702.9 ","35,932.7 ",,"38,062.3 ",,"139,998.3 ",,,
4- 6.,"122,496.5 ","67,334.3 ","65,347.5 ","52,956.4 ","4,662.0 ","19,135.2 ","1,510.0 ","28,043.5 ","6,105.6 ",-18.0 ,"-4,528.7 ","19,986.1 ","24,514.8 ",252.7 ,,"1,151.8 ","123,648.3 ","4,071.2 ","7,409.8 ","3,338.7 ","127,719.5 ",,"126,712.2 ","92,614.3 ","34,097.0 ",,"29,911.9 ",,"121,039.6 ",,,
7- 9.,"131,077.8 ","71,502.9 ","69,303.2 ","56,879.2 ","4,752.9 ","20,529.8 ",-332.9 ,"28,204.3 ","6,972.5 ",-21.6 ,-592.8 ,"21,955.5 ","22,548.3 ",62.7 ,,"1,023.8 ","132,101.6 ","5,572.5 ","7,666.8 ","2,094.3 ","137,674.1 ",,"131,601.0 ","96,458.4 ","35,142.2 ",,"32,267.9 ",,"131,436.9 ",,,
10-12.,"138,406.8 ","74,563.6 ","72,149.6 ","59,700.1 ","4,822.1 ","21,285.9 ",296.9 ,"28,833.8 ","8,187.9 ",-39.1 ,513.0 ,"25,161.1 ","24,648.1 ",-57.3 ,,"1,174.2 ","139,580.9 ","3,832.0 ","6,578.6 ","2,746.6 ","143,412.9 ",,"137,944.5 ","100,949.2 ","36,995.4 ",,"34,325.0 ",,"138,178.4 ",,,
2021/ 1- 3.,"136,648.8 ","71,853.8 ","69,905.0 ","57,468.6 ","4,670.4 ","24,410.7 ","-1,844.1 ","28,933.8 ","8,182.0 ",-15.5 ,485.4 ,"25,244.9 ","24,759.5 ",-27.5 ,,232.3 ,"136,881.1 ","6,123.9 ","8,251.4 ","2,127.5 ","143,005.1 ",,"136,254.9 ","99,141.5 ","37,117.9 ",,"37,247.3 ",,"138,435.8 ",,,
4- 6.,"132,354.9 ","71,254.6 ","69,463.1 ","57,024.6 ","4,589.9 ","20,283.2 ","1,426.7 ","29,401.8 ","5,819.7 ",3.6 ,-311.0 ,"25,448.9 ","25,759.8 ",-113.6 ,,-410.1 ,"131,944.8 ","6,472.3 ","10,048.5 ","3,576.1 ","138,417.1 ",,"132,619.4 ","97,462.5 ","35,155.9 ",,"30,678.8 ",,"131,036.9 ",,,
7- 9.,"134,149.0 ","71,257.9 ","69,172.2 ","56,730.2 ","4,857.5 ","21,325.1 ",647.1 ,"29,253.6 ","6,691.8 ",-24.6 ,244.6 ,"25,391.9 ","25,147.3 ",-104.2 ,,"-1,360.3 ","132,788.6 ","7,692.1 ","9,983.0 ","2,290.9 ","140,480.7 ",,"133,933.0 ","98,047.3 ","35,886.4 ",,"32,874.8 ",,"133,580.7 ",,,
10-12.,"140,627.2 ","75,126.4 ","72,916.4 ","60,438.0 ","4,898.6 ","21,795.9 ","1,150.8 ","29,356.4 ","7,692.2 ",16.7 ,721.8 ,"26,681.1 ","25,959.3 ",-131.5 ,,"-2,338.4 ","138,288.8 ","5,518.9 ","9,041.7 ","3,522.8 ","143,807.7 ",,"139,980.3 ","102,913.8 ","37,064.3 ",,"34,405.9 ",,"139,529.5 ",,,
2022/ 1- 3.,"137,910.7 ","72,665.3 ","70,829.3 ","58,365.8 ","4,634.7 ","25,017.7 ","-1,036.1 ","29,651.1 ","7,374.2 ",16.5 ,-270.3 ,"26,372.7 ","26,643.0 ",-142.3 ,,"-2,597.3 ","135,313.4 ","8,495.0 ","11,067.2 ","2,572.2 ","143,808.3 ",,"138,222.1 ","101,196.8 ","37,025.5 ",,"36,958.7 ",,"139,019.1 ",,,
4- 6.,"134,254.0 ","73,140.0 ","71,432.6 ","58,957.7 ","4,378.4 ","20,576.9 ","1,755.0 ","29,755.0 ","5,216.6 ",18.0 ,-364.4 ,"26,323.9 ","26,688.3 ",-221.4 ,,"-3,766.7 ","130,487.2 ","7,247.3 ","11,567.7 ","4,320.4 ","137,734.5 ",,"134,683.4 ","99,806.9 ","34,867.2 ",,"30,131.4 ",,"132,484.3 ",,,
7- 9.,"135,837.1 ","73,926.0 ","71,946.8 ","59,460.4 ","4,690.4 ","22,315.9 ",775.9 ,"29,284.4 ","6,095.4 ",-69.2 ,-989.8 ,"27,017.5 ","28,007.3 ",-191.8 ,,"-4,720.4 ","131,116.7 ","9,539.7 ","12,472.9 ","2,933.2 ","140,656.4 ",,"136,903.4 ","101,668.5 ","35,223.9 ",,"33,065.2 ",,"135,172.1 ",,,
10-12.,"141,000.6 ","75,772.1 ","73,687.0 ","61,176.2 ","4,792.1 ","22,495.7 ",931.7 ,"29,875.9 ","7,164.0 ",44.7 ,76.0 ,"28,752.1 ","28,676.1 ",-151.5 ,,"-4,538.4 ","136,462.2 ","7,548.6 ","12,032.7 ","4,484.1 ","144,010.8 ",,"141,045.5 ","103,960.6 ","37,080.8 ",,"34,443.5 ",,"140,019.8 ",,,
2023/ 1- 3.,"140,879.3 ","75,058.8 ","73,307.5 ","60,794.8 ","4,603.6 ","25,881.3 ","-1,140.7 ","30,037.2 ","7,577.8 ",28.8 ,-898.1 ,"26,944.7 ","27,842.7 ",-269.4 ,,"-3,415.9 ","137,463.4 ","8,422.6 ","12,262.2 ","3,839.6 ","145,886.0 ",,"141,823.3 ","104,156.2 ","37,671.9 ",,"37,963.3 ",,"142,295.4 ",,,
4- 6.,"136,173.6 ","73,493.1 ","71,685.1 ","59,191.3 ","4,534.2 ","20,580.0 ","1,638.3 ","29,424.9 ","5,440.1 ",8.3 ,964.9 ,"27,285.7 ","26,320.7 ",89.8 ,,"-2,603.7 ","133,569.9 ","7,822.0 ","13,864.6 ","6,042.6 ","141,391.9 ",,"135,055.4 ","100,292.8 ","34,743.2 ",,"30,537.1 ",,"134,395.8 ",,,
7- 9.,"137,049.8 ","73,890.6 ","71,820.2 ","59,318.1 ","4,796.1 ","21,720.3 ",149.9 ,"29,218.6 ","6,210.3 ",-16.7 ,"1,097.0 ","27,803.4 ","26,706.4 ",-16.3 ,,"-2,084.3 ","134,965.6 ","9,770.0 ","14,143.7 ","4,373.7 ","144,735.6 ",,"135,822.7 ","100,476.5 ","35,335.8 ",,"32,720.4 ",,"137,024.6 ",,,
10-12.,"141,735.2 ","75,534.6 ","73,362.6 ","60,830.2 ","4,814.8 ","22,672.6 ",170.9 ,"29,579.8 ","7,167.3 ",19.3 ,"1,765.5 ","29,977.2 ","28,211.8 ",10.6 ,,"-2,412.0 ","139,323.2 ","6,656.1 ","12,459.1 ","5,803.0 ","145,979.4 ",,"139,888.9 ","103,104.2 ","36,782.9 ",,"34,647.0 ",,"141,628.7 ",,,
2024/ 1- 3.,"139,696.8 ","73,855.6 ","71,993.1 ","59,486.7 ","4,450.1 ","25,541.4 ","-1,370.1 ","29,801.8 ","7,144.3 ",15.5 ,401.9 ,"27,322.7 ","26,920.8 ",-143.8 ,,"-2,068.5 ","137,628.4 ","9,121.1 ","13,897.7 ","4,776.5 ","146,749.5 ",,"139,197.5 ","102,237.6 ","36,968.6 ",,"37,047.4 ",,"141,353.3 ",,,
4- 6.,"135,198.7 ","73,111.3 ","71,287.2 ","58,791.8 ","4,407.0 ","21,002.7 ","1,161.7 ","29,901.0 ","5,408.1 ",-7.0 ,400.5 ,"27,588.7 ","27,188.2 ",-186.6 ,,"-2,019.7 ","133,179.0 ","8,669.2 ","15,665.8 ","6,996.6 ","141,848.2 ",,"134,812.6 ","99,663.1 ","35,139.5 ",,"30,773.1 ",,"134,006.7 ",,,
