Year,Δln(Q),Δln(GDP),Δln(P),Δln(Tax_rate)
2005,0.010256500167188598,0.004384223842020418,0.0390611089713131,0.0
2006,0.005089069507471677,0.015390990475679267,0.03836086787244586,0.0
2007,-0.0033898337545119617,0.009160964564665974,0.04211148535012743,0.0
2008,-0.029287192271788776,0.008885513357208552,0.03188675947589381,0.0
2009,-0.02478002899848697,-0.03264239779315847,-0.10996772056639159,0.0
2010,0.010695289116748441,0.01713821125719317,0.03520113148436188,0.0
2011,-0.008904778342960107,0.015504186535965303,0.04066825480129577,0.0
2012,0.005352376738592568,0.015267472130788384,0.03836880340418691,0.0
2013,0.010619568827459958,0.015037877364540542,0.0307716586667528,0.0
2014,0.005267790934858851,0.014815085785140347,0.03585098179823465,0.0
2015,0.0069808311413401825,0.01459879942115272,0.03461004924771771,0.0
2016,0.008658062743114314,0.014388737452099676,0.027849901197611437,0.0
2017,0.0051590828100271935,0.01418463499195699,0.03254816018285833,0.0
2018,0.006837633477604577,0.013986241974739855,0.03152208653735222,0.0
2019,0.005097717071668839,0.01379332213233564,0.025434897147821545,0.0
2020,-0.06657449062266974,-0.024264621999630975,-0.08763423593222086,0.0
2021,0.028573372444055778,0.01739174271186883,0.03248830013112425,0.0
2022,0.012248622076199034,0.01709443335929972,0.08328510247304255,0.0
2023,0.010380716054561034,0.016807118316381597,0.028987536873252395,0.0
